original,convert
ok,oke
sangat,sangat
membantu,membantu
jaman,jaman
canggih,canggih
mantap,mantap
jadi,jadi
lebih,lebih
mudah,mudah
bekerja,bekerja
apl,aplikasi
nya,nya
tidak,tidak
sama,sama
sekali,sekali
untuk,untuk
mendaftar,mendaftar
vaksin,vaksin
baru,baru
update,update
an,an
tambah,tambah
bagus,bagus
memberikan,memberikan
info,info
yg,yang
keren,keren
aplikasinya,aplikasinya
memudahkan,memudahkan
warga,warga
dki,dki
ini,ini
perlu,perlu
sebagai,sebagai
berita,berita
terjadi,terjadi
d,di
jakarta,jakarta
bermanfaat,bermanfaat
kenape,kenapa
selalu,selalu
ga,tidak
ada,ada
slot,slot
aneeh,aneh
terbantu,terbantu
dengan,dengan
adanya,adanya
aplikasi,aplikasi
jaki,jaki
jelek,jelek
mau,mau
lapor,lapor
aj,saja
gabisa,tidak bisa
loading,memuat
mulu,terus
ko,kenapa
cek,cek
pbbsih,pbb sih
dari,dari
kemaren,kemarin
banyak,banyak
bugs,kesalahan
terus,terus
server,server
benar,benar
sampahmasa,sampah masa
setiap,setiap
daftar,daftar
kuota,kuota
penuh,penuh
gak,tidak
bs,bisa
dipake,dipakai
semua,semua
tempat,tempat
tampilan,tampilan
dan,dan
menu,menu
dipahami,dipahami
multi,multi
fungsi,fungsi
di,di
penginputan,penginputan
hasil,hasil
maksimal,maksimal
bisa,bisa
instal,pasang
dicoba,dicoba
berx,berkali
tetep,tetap
gaa,tidak
serta,serta
ringkas,ringkas
dalam,dalam
mempergunakam,mempergunakam
respon,respon
lambat,lambat
terkesan,terkesan
ngasal,asal
tl,tindak lanjuti
sulit,sulit
akses,akses
kurang,kurang
kenyamanan,kenyamanan
penggunaanya,penggunaanya
cepat,cepat
payah,payah
dateng,datang
ke,ke
lokasi,lokasi
masih,masih
tuh,saja
digunakan,digunakan
rumit,rumit
penanganan,penanganan
banjir,banjir
sehingga,sehingga
surut,surut
klo,jika
urus,urus
apapun,apapun
kenapa,kenapa
laporan,laporan
request,permintaan
reject,tolak
abis,usai
upgrate,upgrade
kaga,tidak
qr,qr
peduli,peduli
lindungi,lindungi
sering,sering
lag,patah
masuk,masuk
jakclm,jakclm
pelayanan,pelayanan
juga,juga
trima,terima
kasih,kasih
error,kesalahan
kesalahan,kesalahan
berguna,berguna
saya,saya
gembel,malang
wifi,wifi
masi,masih
susah,susah
kadang,kadang
survei,survei
kinerja,kinerja
per,per
tw,tw
sipp,bagus
lah,kenapa
thanks,terimakasih
kontak,kontak
atau,atau
chat,memanggil
admin,admin
kalau,kalau
tanya,tanya
punya,punya
pemerintah,pemerintah
mana,mana
sih,sih
bener,benar
terimakasih,terimakasih
jakiaspirasi,jaki aspirasi
sudah,sudah
didengar,didengar
disuru,disuruh
isi,isi
padahal,padahal
udah,sudah
lulus,lulus
sekolah,sekolah
kini,kini
pertanyaan,pertanyaan
tapi,tapi
login,login
yaudah,ya sudah
coba,coba
berkali,berkali
lemot,lemot
saat,saat
dibuka,dibuka
eror,kesalahan
yang,yang
app,aplikasi
down,down
proses,proses
informasi,informasi
ekonomi,ekonomi
absensi,absensi
tingkatkan,tingkatkan
lagi,lagi
administrasi,administrasi
makasih,terimakasih
terlalu,terlalu
bug,kesalahan
memiliki,memiliki
guna,guna
udh,sudah
malah,malah
tanggap,tanggap
nih,nih
jangan,jangan
kendor,kendor
min,admin
pengoperasian,pengoperasian
gimana,bagaimana
ya,ya
kok,kenapa
tetapi,tetapi
belum,belum
akurat,akurat
tiap,setiap
buka,buka
force,paksa
close,tertutup
praktis,praktis
parah,parah
banget,banget
kacau,kacau
dibanding,dibanding
ibukota,ibukota
bgt,banget
urusan,urusan
solusi,solusi
jelas,jelas
tegasauto,tegas auto
uninstall,copot
lama,lama
si,si
download,unduh
lgi,lagi
butuh,butuh
mempermudah,mempermudah
akes,akses
nggak,tidak
bikin,bikin
msh,masih
hrs,harus
perbaiki,perbaiki
form,form
clm,clm
lewat,lewat
web,web
tolong,tolong
tindak,tindak
lanjuti,lanjuti
minta,minta
setelah,setelah
diupdate,diupdate
runyam,kacau
gaessss,teman
sesuai,sesuai
kebutuhan,kebutuhan
thank,terimakasih
you,kamu
bego,bego
mao,mau
gk,tidak
se,satu
jam,jam
fasilitas,fasilitas
kesehatan,kesehatan
bangat,banget
layanan,layanan
satu,satu
ngapain,ngapain
aja,aja
karena,karena
waktu,waktu
keluar,keluar
updet,update
terusintegrasi,terus integrasi
dg,dengan
transjak,transjak
ma,dan
jaklimgko,jaklimgko
pdhl,padahal
percuma,percuma
deh,deh
mantab,mantap
ribet,rumit
efektif,efektif
efisien,efisien
klik,klik
lanjutin,lanjutin
tes,tes
terima,terima
feedback,feedback
cepatnya,cepatnya
karna,karena
masalah,masalah
jaringan,jaringan
internetnya,internetnya
kenceng,kencang
brp,berapa
ngantri,mengantri
semakin,semakin
baik,baik
n,dan
infonya,infonya
dpt,dapat
segala,segala
tentang,tentang
bapuk,buruk
buat,buat
pemda,pemerintah daerah
awesome,hebat
good,bagus
tunggu,tunggu
selanjut,selanjut
ny,nya
layak,layak
baiksangat,baik sangat
dalamnkoordinasi,dalam koordinasi
lingkungan,lingkungan
kerentapi,keren tapi
ngedownloadnya,ngedownloadnya
biar,biar
komplit,lengkap
hanya,hanya
melalui,melalui
video,video
variatif,variatif
